# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl2;60;1444147378;-886.95;0.00;792.98
pgxl2;60;1444147438;-3812.31;0.00;3759.57
pgxl2;60;1444147498;-3827.36;0.00;3200.05
pgxl2;59;1444147558;-3036.11;0.00;3487.72
pgxl2;59;1444147618;-2957.35;0.00;2925.68
pgxl2;60;1444147678;-4961.88;0.00;1915.25
pgxl2;59;1444147738;-263.24;0.00;3214.24
pgxl2;60;1444147798;-568.74;0.00;568.77
pgxl2;60;1444147858;-56.39;0.00;55.60
pgxl2;59;1444147918;-1545.31;0.00;488.03
pgxl2;59;1444147978;-1947.73;0.00;804.18
pgxl2;59;1444148038;2406.96;0.00;-201.50
pgxl2;60;1444148098;-6467.01;0.00;-4764.19
pgxl2;60;1444148158;1570.66;0.00;5422.34
pgxl2;60;1444148218;-1894.26;0.00;6305.74
