ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1444148714.43481,public,supplier,pk_supplier,88,0,0,3,110
1444148714.43481,public,supplier,supplier_s_nationkey_s_suppkey_idx,0,0,0,3,22
1444148714.43481,public,supplier,supplier_s_suppkey_idx_like,0,0,0,3,22
1444148714.43481,pg_catalog,pg_database,pg_database_oid_index,601,600,600,4,948
1444148714.43481,pg_catalog,pg_database,pg_database_datname_index,655,654,654,4,1000
1444148714.43481,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,1277,957,957,12,2871
1444148714.43481,pg_catalog,pg_type,pg_type_typname_nsp_index,345,176,174,11,793
1444148714.43481,pg_catalog,pg_type,pg_type_oid_index,4990,4965,4965,6,5305
1444148714.43481,public,part,part_p_type_p_partkey_idx,0,0,0,3,14
1444148714.43481,public,part,pk_part,54,0,0,3,68
1444148714.43481,public,part,part_p_container_p_brand_p_partkey_idx,0,0,0,3,14
1444148714.43481,public,part,part_p_name_idx,0,0,0,3,14
1444148714.43481,public,part,part_p_size_idx,0,0,0,3,14
1444148714.43481,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_2618,pg_toast_2618_index,122,388,388,6,192
1444148714.43481,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_2619,pg_toast_2619_index,23,32,32,4,49
1444148714.43481,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1444148714.43481,pg_toast,pg_toast_3592,pg_toast_3592_index,0,0,0,0,0
1444148714.43481,public,partsupp,partsupp_ps_suppkey_idx,52,0,0,2,64
1444148714.43481,public,partsupp,pk_partsupp,32,0,0,2,44
1444148714.43481,pg_catalog,pg_authid,pg_authid_oid_index,305,305,305,4,606
1444148714.43481,pg_catalog,pg_authid,pg_authid_rolname_index,305,305,305,4,606
1444148714.43481,public,customer,customer_c_phone_idx_c_acctbal,0,0,0,3,16
1444148714.43481,public,customer,customer_c_nationkey_c_custkey_idx,0,0,0,3,16
1444148714.43481,public,customer,pk_customer,60,0,0,3,76
1444148714.43481,public,customer,customer_c_mktsegment_c_custkey_idx,0,0,0,3,16
1444148714.43481,public,customer,customer_c_phone_idx,0,0,0,3,16
1444148714.43481,public,orders,orders_o_orderdate_o_orderkey_idx,0,0,0,3,24
1444148714.43481,public,orders,orders_o_orderkey_o_orderdate_idx,66,0,0,3,90
1444148714.43481,public,orders,pk_orders,0,0,0,3,24
1444148714.43481,public,lineitem,lineitem_l_orderkey_idx_l_returnflag,0,0,0,3,49
1444148714.43481,public,lineitem,lineitem_l_orderkey_idx_part1,0,0,0,3,49
1444148714.43481,public,lineitem,lineitem_l_orderkey_idx_part2,0,0,0,3,49
1444148714.43481,public,lineitem,lineitem_l_partkey_l_quantity_l_shipmode_idx,38,0,0,3,87
1444148714.43481,public,lineitem,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,90,0,0,3,139
1444148714.43481,public,lineitem,lineitem_l_orderkey_idx,0,0,0,3,49
